	titleId	directors	writers
4574	tt0004630	nm0132324	nm0058849,nm0063492
4647	tt0004707	nm0784407,nm0071658	nm0215874,nm0404327,nm0784407,nm1100197,nm0808086
4683	tt0004743	nm0198523	nm0832952,nm0014571,nm0574737
4812	tt0004873	nm0950148	nm0140902,nm0950148
4875	tt0004936	nm0000122	nm0000122
4911	tt0004972	nm0000428	nm0228746,nm0000428,nm0940488
4988	tt0005049	nm0135052	nm0241414,nm0547966
5150	tt0005214	nm0127511	nm0127511,nm0703446
5166	tt0005231	nm2542573	
5353	tt0005419		nm0824274
5364	tt0005431	nm0366586	nm0837989
5461	tt0005529	nm0159725	nm0159725
5612	tt0005682	nm0646058	nm0519029
5856	tt0005928	nm0285684,nm0692105	nm0285684,nm0878494
5867	tt0005939	nm0689471	nm0932328
5914	tt0005987	nm0922304	
5935	tt0006008	nm0916665,nm0806565	nm0916665
5968	tt0006041	nm0624511	nm0241414,nm0624511
6135	tt0006210	nm0102643,nm0637463	nm0856842,nm0930245
6166	tt0006241	nm0698839,nm0306723	nm0306723,nm0866243,nm0698839
6336	tt0006413	nm0534288	nm0725845,nm0940820
6621	tt0006703	nm0154352	nm0493337,nm0547966
6713	tt0006796	nm0319401	
6780	tt0006864	nm0000428	nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488
6811	tt0006895	nm0911959	nm0518844,nm8077276,nm0000636
6908	tt0006995	nm0256221	nm0256221,nm0002616,nm0000636
7030	tt0007120	nm0686859	nm0518840
7051	tt0007142	nm0949648	nm0024758,nm0002042,nm0949648
7069	tt0007160	nm0366586	nm0441601
7246	tt0007338	nm0077928	nm0791024,nm0319069,nm0236279
7267	tt0007361	nm0205986	nm0024758,nm0342278,nm0342303,nm1331503
7360	tt0007454	nm0842521	nm0241416,nm0370271
7417	tt0007514	nm0002061	nm0030694
7605	tt0007709	nm0332531	nm0907778
7696	tt0007801	nm0250053	nm0353584,nm0413248,nm0603447,nm0765026
7726	tt0007832	nm0000122	nm0117018,nm0000122,nm1176713
7761	tt0007867	nm0208657	nm0208657,nm0406585
7767	tt0007873	nm0256221	nm0256221,nm0001196,nm0002616
7921	tt0008029	nm0897085,nm0922286	nm0002042,nm0387549,nm0922286
7932	tt0008040	nm0734958	nm0734958,nm0000636
8087	tt0008196	nm0624714	nm0122364,nm0547966
8310	tt0008426	nm0237713	nm1212433
8425	tt0008543	nm0361882	nm0361882,nm0370426
8426	tt0008544	nm0822801	nm0169243,nm0649478
8447	tt0008565	nm0119138	nm0353584,nm0613943
8496	tt0008614		nm6955979,nm0687742,nm0853042,nm2175861,nm2626263
8569	tt0008687	nm0853336	nm0878494,nm0412257
8703	tt0008825	nm0458837,nm0407778	nm0263912,nm0296193,nm1802888
8714	tt0008836	nm0304843	nm0529481,nm0866243
8851	tt0008975	nm0000779	nm0000779
8895	tt0009020	nm0869665	nm0406585,nm0537510,nm0869665
9079	tt0009205	nm0135052	nm0135052,nm0558923,nm0923585
9133	tt0009259	nm0160280	nm0160280
9181	tt0009309	nm0461295	nm0017301,nm0561651
9237	tt0009369	nm0428059,nm0949648	nm0215874,nm0370271
9338	tt0009470	nm0636076	nm0027367,nm0256639
9412	tt0009544	nm0115218	nm0595569,nm0444508,nm0662701
9589	tt0009721	nm0291387,nm0291548	nm0566338,nm0829044
9632	tt0009764	nm0319401	
9744	tt0009879	nm0853336	nm0547966,nm0599844
9787	tt0009922	nm0373614	nm0527568,nm0823837
9833	tt0009968	nm0000428	nm0121885,nm0000428
9925	tt0010061	nm0686859	nm0588338
10072	tt0010208	nm0000485	nm0067584,nm0432653,nm0519029
10073	tt0010209	nm0006276	nm0528351,nm0809633
10128	tt0010265	nm0275421	nm0275421
10186	tt0010323	nm0927468	nm0562346,nm0417917
10248	tt0010386	nm0454535	nm0517786
10253	tt0010391	nm0000779	nm0000779,nm0117018
10279	tt0010418	nm0001124	nm0534221,nm0057381
10331	tt0010472	nm1419257,nm0932134	nm0239426
10391	tt0010532	nm0357872	nm0591753,nm0912580
10407	tt0010548	nm0154352	nm0910021,nm0926417,nm0073592
10505	tt0010651	nm0587754	nm0141904,nm0152156,nm0266444,nm0813905,nm0949617
10508	tt0010654	nm0744504	nm0837989
10526	tt0010674	nm0167032	nm0122364,nm0265572
10693	tt0010844	nm0869665	nm0175676,nm0299154
10800	tt0010953	nm0921244	nm0107200,nm0462762
10809	tt0010962	nm0523932	nm0266183,nm0473134
10848	tt0011001	nm0002061	nm0002042,nm0254674
10904	tt0011058	nm0281487,nm0281502	nm0281502
10915	tt0011069	nm0102783	nm0717281,nm0355582,nm0166693
10975	tt0011130	nm0731910	nm0829044,nm0073238,nm0838370,nm0928492
10976	tt0011131	nm0370746	nm0370746,nm0829044
11151	tt0011309	nm0002061	nm0236279,nm0254674,nm1123587
11159	tt0011317	nm0097648	nm0403595,nm0495461,nm0547966
11228	tt0011387	nm0869665,nm0113284	nm0178126,nm0227062
11278	tt0011439	nm0629243	nm0191547,nm0001196,nm1491939
11345	tt0011506	nm0279404	nm0279404
11359	tt0011520	nm0073239	nm0870544
11380	tt0011541	nm0000036,nm0166836	nm0166836,nm0000036
11427	tt0011588	nm0694260	nm0692108,nm0193693,nm0547966
11443	tt0011604	nm0466099	nm0878494,nm0083742
11489	tt0011651	nm0385171	nm0385171,nm0091785
11517	tt0011679	nm0629243	nm0837989
11620	tt0011785	nm0869665	nm0299154,nm0829044
11675	tt0011841	nm0000428	nm0662461,nm0103755,nm0342604,nm0446189,nm0000428
11683	tt0011849	nm0002179	nm0585502,nm0860152
11719	tt0011886	nm0104197	nm0111577,nm0822627
11740	tt0011907	nm0002061	nm0236279
11804	tt0011973	nm0807871	nm0786564,nm0156318,nm0183968,nm0156328
11829	tt0011998	nm0376221	nm0567346,nm0810367,nm0648688,nm0940820
11858	tt0012027	nm0806605	nm0241414,nm0558923
11921	tt0012091	nm0746460	nm0253652,nm0588341
12016	tt0012189	nm0686421	nm0556571,nm0552123
12076	tt0012249	nm0300544,nm0769942	nm0313819,nm0000636,nm0898985
12131	tt0012305	nm0717046	nm0103432,nm0588505
12154	tt0012329	nm0050846	nm0050846,nm0111576
12174	tt0012349	nm0000122	nm0000122
12175	tt0012350	nm0382730,nm0176699	nm0770337,nm0925481
12315	tt0012494	nm0000485	nm0000485,nm0902376
12353	tt0012532	nm0000428	nm0257866,nm0180077,nm0000428
12359	tt0012538	nm0115218	nm0103024,nm0115218,nm0399203
12363	tt0012543	nm0166836,nm0000036	nm0166836,nm0000036
12401	tt0012581		
12464	tt0012645	nm0118266	nm0118266,nm0241416
12547	tt0012730	nm0058022	nm0494673,nm0725021,nm0817809
12568	tt0012752	nm0629243	nm0241416,nm0461241,nm0940689,nm0001196
12733	tt0012920	nm0334918	nm0075318,nm0756814
12765	tt0012952	nm0629243,nm0002188	nm0087658,nm0193704,nm0558923
12811	tt0012998	nm0454535,nm0569645	nm0170401,nm0518844
12827	tt0013014	nm0000370	nm0674518,nm0679449
12864	tt0013051	nm0281808	nm0332539
12888	tt0013076	nm0117065	nm0406585,nm0623417
13030	tt0013221	nm0075960,nm0006276	nm0058939,nm0240534,nm0430756
13112	tt0013304	nm0279404	nm0279404
13140	tt0013332	nm0869665	nm0085806,nm0715512,nm0612580,nm0321216,nm0869665
13231	tt0013427	nm0280904	nm0280878,nm0280904
13253	tt0013450	nm0515979	nm0002042,nm0515979,nm0917949,nm0031033
13271	tt0013469	nm0118266	nm0118266,nm0611124,nm0000636
13296	tt0013494	nm0001908	nm12525892
13354	tt0013555	nm0446054	nm0708956
13355	tt0013556	nm0245385	nm0001196,nm0202617,nm0245385,nm0461241,nm0940689
13390	tt0013592	nm0286379	nm0824699,nm0881333,nm0521002
13395	tt0013597	nm0662032	nm0114991,nm0236279,nm0265572,nm0319069
13397	tt0013599	nm0281487	
13405	tt0013607	nm0721840	nm0721840
13607	tt0013817	nm0001124	nm0534221
13698	tt0013908	nm0413164	nm0413164,nm0518711,nm10950558
13841	tt0014051	nm0694260	nm0242802,nm0671163,nm0887429
13858	tt0014068	nm0454771	nm0332539
13931	tt0014142	nm0941637	nm0401076,nm0790622,nm0522871,nm0730929
14118	tt0014339	nm0325670,nm0009257	nm0325670,nm0695870
14175	tt0014398	nm0046082	nm0002316,nm0741358,nm0933133
14217	tt0014440	nm0002271	nm0754581,nm0325135
14305	tt0014532	nm0001124	nm0534221
14310	tt0014538	nm0166836,nm0000036	nm0115669,nm0593477,nm0369841,nm0000036
14330	tt0014560	nm0281487	
14420	tt0014650	nm0607864	nm0062738,nm0152165
14421	tt0014651	nm0749484	nm0697880,nm0923585
14437	tt0014667	nm0250034	nm0001008,nm0174690,nm0727999,nm0810256
14476	tt0014706	nm0210352	nm0073238
14522	tt0014752	nm0113284	nm0014703,nm0697880
14529	tt0014759	nm0807871,nm0807236	nm0754581,nm0683354,nm0837989
14581	tt0014811	nm0281487	nm0281502
14736	tt0014968	nm0896542	nm0543122
14832	tt0015064	nm0003638	nm0562346
14839	tt0015071	nm0227020	nm0265572,nm0374123,nm0403398
14885	tt0015117	nm0122944	nm0267876,nm0806061,nm0878338
14887	tt0015119	nm0523932	nm0075960,nm0773083
14903	tt0015136	nm0003433	nm0051911,nm0902376,nm0003433
14929	tt0015163	nm0187981,nm0000036	nm0115669,nm0593477,nm0369841
14934	tt0015168	nm0250053	nm0860442,nm0870571,nm0774605
14989	tt0015224	nm0107543	nm0057381,nm0325135
15075	tt0015310	nm0515979	nm0754581,nm0370271,nm0031033
15126	tt0015361	nm0001178	nm0017893,nm0001178,nm0470402,nm0687244
15159	tt0015394	nm0624714	nm0362762,nm0267913
15165	tt0015400	nm0909825	nm0940689,nm0001196,nm0008280,nm0640884
15176	tt0015411	nm0205984	nm0026153
15221	tt0015456	nm0281487	
15296	tt0015532	nm0002569,nm0718201	nm0718201
15353	tt0015589	nm0694260	nm0364668,nm0725017
15398	tt0015634	nm0584778	nm0584778
15407	tt0015643	nm0002118	nm0364668,nm0641301,nm0837989,nm0210352
15412	tt0015648	nm0001178	nm0012810,nm0001178,nm0017893,nm0038595,nm0872308
15447	tt0015684	nm0097648	nm0164856,nm0560857
15456	tt0015693	nm0376221	nm0114212,nm0170401,nm0558923,nm0708118
15539	tt0015777	nm0736610	nm0591791,nm0413821
15603	tt0015841	nm0628345,nm0853130	nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001
15625	tt0015863	nm0000036	nm0000036,nm0623640,nm0134252
15626	tt0015864	nm0000122	nm0000122
15635	tt0015873	nm0178260,nm0774325	nm0142579,nm0708920
15688	tt0015926	nm0382476	nm0382476
15797	tt0016037	nm0281808	nm0175676,nm0401429,nm0751246
15799	tt0016039	nm0398464	nm0236279,nm0265572
15882	tt0016123	nm0922327	nm0922327,nm0928108,nm0533102,nm0448978,nm0837989
15976	tt0016220	nm0432216,nm0151606,nm0781292,nm0480677	nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473
16038	tt0016283	nm0250034	nm0115669,nm0317319,nm0727999
16052	tt0016297	nm0487237	nm0487237
16062	tt0016308	nm0000428	nm0232704,nm0357028
16092	tt0016338	nm0208113,nm0760547	nm0353584,nm0760547,nm0838820
16148	tt0016395	nm0454771	nm0547966,nm0698989
16214	tt0016461	nm0007215,nm0366586	nm0263346,nm0837989
16216	tt0016463	nm0671501,nm0734169	nm0307819
16244	tt0016491	nm0275494	nm0212511,nm0275494,nm0741147
16277	tt0016524	nm0872868	nm0518711,nm0613848
16297	tt0016544	nm0783865	nm0000875,nm0062091,nm0497736,nm0783865
16381	tt0016630	nm0000036	nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650
16385	tt0016634	nm0107543	nm0107543,nm0751246,nm0774539,nm0942118
16405	tt0016654	nm0662032	nm0001196,nm0192325
16443	tt0016692	nm0344583	nm0344583,nm0352026,nm0445827
16551	tt0016800	nm0101038,nm0279404	nm0279404
16598	tt0016847	nm0003638	nm0369458,nm0477515,nm0324473
16626	tt0016875	nm0097648	nm0186600,nm0547966
16699	tt0016948	nm0090007	nm0276501,nm0831958,nm0201544,nm0817809
16868	tt0017117	nm0190516	nm0013130,nm0403595,nm0940820
16879	tt0017128	nm0699877	nm0331003,nm0953515
16887	tt0017136	nm0000485	nm0902376,nm0000485
16999	tt0017251	nm0332539	nm0267868,nm0332539,nm0933133
17055	tt0017307	nm0046082	nm0064595,nm0510024,nm0521002
17074	tt0017326	nm0002118	nm0102818,nm0228693,nm0469166
17088	tt0017340	nm0210352	nm0118329,nm0494673
17098	tt0017350	nm0803705	nm0370426,nm0547966
17115	tt0017367	nm0807742	nm0420203,nm0414428
17170	tt0017423	nm0064415,nm0573743	nm0242802,nm0547938,nm0837989
17265	tt0017518	nm0397678	nm0264229,nm0566338
17403	tt0017657	nm0326370	nm0556945,nm0622435
17476	tt0017731	nm0629243	nm0241414,nm0208691,nm0547938,nm0697880,nm0819546
17484	tt0017739	nm0501902	nm0929616,nm0384616,nm0169879,nm0031033,nm0002771
17494	tt0017749	nm0209458	nm0437356,nm0236980
17495	tt0017750	nm0882160	nm0914362,nm0168829,nm0469166
17510	tt0017765	nm0395023,nm0000036	nm0361882,nm0289381
17519	tt0017774	nm0102264,nm0578985	nm0285218,nm0325135
17581	tt0017836	nm0347451	nm0420176,nm0907778
17595	tt0017850	nm0629243	nm0173303,nm0325135,nm0426515,nm0689638
17669	tt0017925	nm0115669,nm0000036	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548
17705	tt0017961	nm0575963	nm0575963
17774	tt0018033	nm0903049,nm0046082	nm0323325,nm0521002,nm0510024,nm0547938
17778	tt0018037	nm0189076	nm0710723,nm0169879,nm0418772
17821	tt0018080	nm0744504	nm0309618,nm0747844,nm0831958
17848	tt0018107	nm0318105,nm0332539	nm0866243,nm0014703,nm0191956,nm0600641
17924	tt0018183	nm0853130	nm0635841,nm0573865,nm0924065,nm0521002
17931	tt0018192	nm0304098	nm0304098
17972	tt0018233	nm0807742	nm0108469,nm0340719,nm0747844,nm0831958
18039	tt0018302	nm0671501	nm0238243,nm0593477,nm0686582
18054	tt0018318	nm0136888	nm0866243,nm0136888,nm0288986,nm0592217,nm0866242
18064	tt0018328	nm0000033	nm0000033,nm0720904
18132	tt0018397	nm0115218	nm0950150,nm0413353,nm0267868
18222	tt0018489	nm0928214	nm0093397,nm0860145
18244	tt0018512	nm0806061	nm0167769,nm0307819,nm0469166,nm0494673
18256	tt0018524	nm0689471	nm0832952,nm0031033,nm0689471
18258	tt0018526	nm0903049,nm0744504	nm0299153,nm0001328,nm0372942,nm0498133,nm0547938,nm0903049
18392	tt0018662	nm0112897	nm0340719,nm0542534,nm0747844,nm0591791
18419	tt0018689	nm0250034	nm0247394,nm0250034,nm0317319,nm1207181,nm0673585,nm0692715,nm0734931,nm1207545
18451	tt0018721	nm0000370	
18458	tt0018728	nm0412235	
18483	tt0018753	nm0307819	nm0444403,nm0307819,nm0165470,nm0238243,nm0469166
18500	tt0018770	nm0258477	nm0000590,nm0000320,nm0258477
18503	tt0018773	nm0000122	nm0000122
18550	tt0018821	nm0086486	
18580	tt0018851	nm0191899	nm0102167,nm0175902,nm0191899,nm0261455,nm0809548
18599	tt0018870	nm0190516	nm0547966,nm0569658,nm0817809
18602	tt0018873	nm0914682,nm0916410	nm0000590
18605	tt0018876	nm0000033	nm0035199,nm0000033,nm0402855,nm0497961,nm0680914,nm0822627
18637	tt0018908	nm0774325,nm0178260,nm0578985	nm0556571,nm0521002,nm0261455,nm0425456,nm0268513
18662	tt0018935	nm0226189	nm0405934,nm0433288,nm0458283
18770	tt0019043	nm0455938	nm0455938
18772	tt0019045	nm0654868	nm0457560,nm0654868
18855	tt0019130	nm0501902	nm0401076,nm0018470,nm0031033,nm0572610,nm0911709,nm0926417
18856	tt0019131	nm0071560	nm0730039,nm1133492,nm0931989
18886	tt0019163	nm0917857	nm0498088,nm0562372,nm0748034
18908	tt0019186	nm0243295	nm0243295
18972	tt0019252	nm0833965	nm0428177,nm0695456,nm0547938
18974	tt0019254	nm0003433	nm0217865,nm0003433
18978	tt0019258	nm0896542	nm0175194,nm0817809
19006	tt0019286	nm0699877	nm0109283,nm0637210
19008	tt0019288	nm0383304	nm0307819,nm0469166
19027	tt0019307	nm0782707	nm0782707,nm0364668,nm0397963,nm0089800
19133	tt0019415	nm0000485	nm0902376,nm0000485
19137	tt0019419	nm0187981	nm0184632,nm0469166
19174	tt0019456	nm0215877	nm0309567,nm0413711,nm0908624
19195	tt0019478	nm0840042	nm0108519,nm0860374
19225	tt0019509	nm0002190	nm0002190
19344	tt0019630	nm0922327	nm0922327,nm0837989,nm0942048,nm0140562,nm0637795
19360	tt0019646	nm0478303	nm0077220,nm0478303,nm0957652
19378	tt0019664	nm0215877	nm0599800,nm0520501,nm0128361,nm0030860
19380	tt0019666	nm0624714	nm0725017,nm0413590
19401	tt0019688	nm0564970,nm0395023	nm0907778,nm0564970
19435	tt0019722	nm0102643	nm0014703,nm0191956,nm0002316,nm0928642
19436	tt0019723	nm0896533	nm0081549,nm0896533
19445	tt0019732	nm0671501	nm0066247,nm0388554
19447	tt0019734	nm0387791	nm0387791
19490	tt0019777	nm0282984,nm0763798	nm0442151,nm0753452
19547	tt0019837	nm0209458	nm0236980,nm0209458,nm0701557,nm0058882
19608	tt0019901	nm0000485	nm0902376,nm0000485
19665	tt0019959	nm0896542	nm0875746,nm0770337,nm0725823,nm0896542,nm0014703
19724	tt0020019	nm0454535	nm0366285,nm0388554
19766	tt0020062	nm0275494	nm0767683,nm0473134,nm0014703
19796	tt0020092	nm0510839	nm0560857,nm0068419,nm0510839,nm0089800
19838	tt0020135	nm0920074	nm0542534,nm0372698,nm0000581
19915	tt0020215	nm0054977	nm0622435,nm0369038,nm0369036
19923	tt0020223	nm0002031,nm0953123	nm0953123,nm0170401,nm0030860
19968	tt0020269	nm0243295	nm0071596
20016	tt0020321	nm0412235,nm0291259	nm0291259,nm0412235
20019	tt0020324	nm0212704	nm0236279,nm0212704,nm0287124
20030	tt0020335	nm0097648	nm0095732,nm0191996,nm0458934,nm0876811
20080	tt0020389	nm0273203,nm0811914	nm0811914
20093	tt0020402	nm0372609,nm0689471	nm0272209,nm0598805,nm0689471,nm0715723
20106	tt0020415	nm0258015	nm0428734,nm0726588,nm0030860
20130	tt0020439	nm0064600	nm0604526,nm0696788,nm0088670,nm0267868
20170	tt0020479	nm0853130	nm0000636,nm0853130
20219	tt0020530	nm0000320	nm0198557,nm0000320
20253	tt0020564	nm0624756	nm0396876,nm0304321,nm0456646
20317	tt0020629	nm0587277	nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277
20328	tt0020640	nm0373511	nm0442151,nm0753452,nm0436095,nm0748438
20343	tt0020655	nm0447217,nm0243295	nm0447655,nm0560803,nm0713255
20369	tt0020681	nm0569645	nm0244212
20379	tt0020691	nm0909825,nm0517264	nm0263346,nm0102293,nm0668685,nm0692891,nm0909825
20385	tt0020697	nm0903049	nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567
20389	tt0020701	nm0534226	nm0534226
20400	tt0020713	nm0002031	nm0565402,nm0669277
20471	tt0020785	nm0127511	nm0228693,nm0048874,nm0256221
20582	tt0020900	nm0002179	nm0774539,nm0810290
20610	tt0020929	nm0342417	nm0776997,nm0114095,nm0541641,nm0221865,nm0376575,nm0547966,nm0267868
20638	tt0020960	nm0001843,nm0400652,nm0332539	nm0624714,nm0545309,nm0261455,nm0066946
20664	tt0020986	nm0749484	nm0002317,nm0858440,nm0542534
20749	tt0021073	nm0466099	nm0403398,nm0329312
20752	tt0021076	nm0500749	nm0500749
20755	tt0021079	nm0503777	nm0122446,nm0267020,nm0498133,nm0520501,nm0953123
20790	tt0021114	nm0896826	nm0930082,nm0651000,nm0915047,nm0121667
20804	tt0021128	nm0000033	nm0199304,nm0433288,nm0458283,nm0720904,nm0801026
20822	tt0021147	nm0188669	nm0428177,nm0498133,nm0542534,nm0574112,nm0720805
20824	tt0021149	nm0045800	nm0578479,nm0308177,nm0018470
20839	tt0021165	nm0000033	nm0199304,nm0801026,nm0000033,nm0616601,nm0720904
20898	tt0021224	nm0115218	nm0115218,nm0287124
20913	tt0021239	nm0356931	nm0050981,nm0237072,nm0356931,nm0441601
20960	tt0021288	nm0229553	
20964	tt0021292	nm0000859,nm0629243	nm0191956,nm0267913,nm0394109,nm0562372,nm0866243
20967	tt0021295	nm0281808	nm0035304,nm0299154
20981	tt0021310	nm0113284	nm0791017,nm0580648,nm0562372
20994	tt0021324	nm0187981	nm0887429,nm0922850,nm0613848
21008	tt0021339	nm0569697	nm0907778
21077	tt0021409	nm0163229	nm0163229
21079	tt0021412	nm0136888	nm0063492,nm0179993,nm0494964
21101	tt0021434	nm0412650	
21121	tt0021456	nm0569697	nm0569697,nm0907778
21148	tt0021483	nm0188669	nm0878494,nm0428177,nm0574112,nm0591791
21168	tt0021504	nm0689471	nm0522871,nm0716139,nm0824699
21201	tt0021538	nm0633394	nm1185468,nm0530731,nm0631346
21233	tt0021571	nm0235590	nm0235590
21255	tt0021596	nm0191386,nm0281487	
21257	tt0021598	nm0386785	nm0002005,nm0608054,nm0575197
21258	tt0021599	nm0689455	nm0140902,nm0329373,nm0587930
21261	tt0021602	nm0736610	nm0408422,nm0370271,nm0119378,nm0556814,nm0869389
21292	tt0021634	nm0307819	nm0482011,nm0118512,nm0307819
21329	tt0021671	nm0002165,nm0282984	nm0347589
21337	tt0021680	nm0763453	nm0299154,nm0819799,nm0858440
21380	tt0021723	nm0806143	nm0494964,nm0860374
21387	tt0021730	nm0896542	nm0547966,nm0875746,nm0549905
21406	tt0021749	nm0000122	nm0000122,nm0139714,nm0188357
21432	tt0021775	nm0763453	nm0067103,nm0397022,nm0763453,nm0916914
21443	tt0021786	nm0275494	nm0774217,nm0401738,nm0191956,nm0547966
21469	tt0021814	nm0005713,nm0115218	nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574
21506	tt0021853	nm0541766	nm0187036,nm0447655
21537	tt0021884	nm0001843	nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246
21543	tt0021890	nm0587277	nm0372942,nm0531269,nm0179993,nm0496468
21566	tt0021914	nm0067033	nm0458283,nm0776456,nm0844459
21579	tt0021927	nm0064600	nm0228529,nm0369038,nm0369036,nm0394267
21628	tt0021977	nm0348107	nm0236279,nm0908624
21649	tt0022000	nm0564970	nm0221865,nm0114095,nm0376575,nm0564970
21741	tt0022094	nm0448915	nm0588467,nm0397963,nm0788356
21747	tt0022100	nm0000485	nm0902376,nm0000485,nm0414825
21756	tt0022111	nm0215877	nm0358591,nm0298494,nm0391763,nm0399203
21771	tt0022126	nm0803705	nm0074790,nm0581721
21795	tt0022150	nm0163229	nm0077278,nm0347058,nm0163229
